frame_idx,timestamp,mic_rms,mic_peak,ref_rms,ref_peak,ref_is_silence,delay_samples,delay_ms,is_double_talk,nlms_residual_rms,echo_est_rms,nls_output_rms,nls_bypassed,erle_instant_db,filter_norm,process_time_ms
1,1774518046.2184,0.19782008,0.677582,0.00001191,0.000092,0,0,0.00,1,0.19782008,0.00000000,0.00000000,0,85.93,0.000000,11.473
1,1774518046.2823,0.14963011,0.467010,0.00001108,0.000061,0,0,0.00,1,0.14963011,0.00000000,0.14963011,1,-0.00,0.000000,5.974
2,1774518046.3436,0.07480191,0.333344,0.00000757,0.000061,0,0,0.00,1,0.07480191,0.00000000,0.07480191,1,-0.00,0.000000,6.867
3,1774518046.4126,0.01631017,0.087524,0.00001206,0.000092,0,39,2.44,1,0.01631017,0.00000000,0.01631017,1,-0.00,0.000000,6.287
4,1774518046.4723,0.00609535,0.024261,0.00001265,0.000092,0,39,2.44,1,0.00609535,0.00000000,0.00609535,1,-0.00,0.000000,5.864
5,1774518046.5325,0.00233154,0.008331,0.00001632,0.000092,0,39,2.44,1,0.00233154,0.00000000,0.00233154,1,-0.00,0.000000,6.225
6,1774518046.6029,0.00105364,0.002869,0.00003302,0.000214,0,39,2.44,1,0.00105364,0.00000000,0.00105364,1,-0.00,0.000000,6.052
7,1774518046.6623,0.00155673,0.008850,0.00001599,0.000183,0,39,2.44,1,0.00155673,0.00000000,0.00105320,0,3.39,0.000000,6.351
8,1774518046.7323,0.00112724,0.003204,0.00001881,0.000122,0,39,2.44,1,0.00112724,0.00000000,0.00112724,1,-0.00,0.000000,5.759
9,1774518046.7930,0.00120666,0.003479,0.00002525,0.000183,0,39,2.44,1,0.00120666,0.00000000,0.00112665,0,0.60,0.000000,6.165
10,1774518046.8527,0.00090002,0.002899,0.00002230,0.000153,0,39,2.44,1,0.00090002,0.00000000,0.00090002,1,-0.00,0.000000,5.901
11,1774518046.9230,0.00144204,0.003967,0.00002433,0.000153,0,39,2.44,1,0.00144204,0.00000000,0.00089954,0,4.10,0.000000,6.149
12,1774518046.9824,0.00131677,0.004120,0.00000853,0.000061,0,39,2.44,1,0.00131677,0.00000000,0.00131677,1,-0.00,0.000000,5.563
